  31:11  error    Hardcoded color '#f8f9fa' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  32:13  error    Hardcoded color '#e9ecef' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   31:16  error    Hardcoded color '#007AFF' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   33:24  error    Hardcoded color '#F8F9FA' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   35:22  error    Hardcoded color '#666666' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   36:15  error    Hardcoded color '#E5E5E5' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   45:14  error    Hardcoded color '#007AFF' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   47:22  error    Hardcoded color '#F8F9FA' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   49:20  error    Hardcoded color '#666666' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   50:13  error    Hardcoded color '#E5E5E5' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   51:18  error    Hardcoded color '#F0F0F0' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   41:16  error    Hardcoded color '#007AFF' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   43:24  error    Hardcoded color '#F8F9FA' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   45:22  error    Hardcoded color '#666666' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   46:15  error    Hardcoded color '#E5E5E5' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   55:14  error    Hardcoded color '#007AFF' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   57:22  error    Hardcoded color '#F8F9FA' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   59:20  error    Hardcoded color '#666666' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   60:13  error    Hardcoded color '#E5E5E5' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   61:18  error    Hardcoded color '#F0F0F0' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  443:16  error    Hardcoded color '#8b5cf6' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  458:16  error    Hardcoded color '#00ffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  499:16  error    Hardcoded color '#8b5cf6' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  533:22  error    Hardcoded color '#f8f9fa' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  283:22  error    Hardcoded color '#FF6B9D' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           local/no-hardcoded-colors
  286:22  error    Hardcoded color '#6366F1' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           local/no-hardcoded-colors
  291:18  error    Hardcoded color '#FF6B9D' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           local/no-hardcoded-colors
  118:49  error    Hardcoded color '#f97316' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
